Utbildningsområde;SUN5 inriktning;SUN5 inriktning namn;Utbildningsnamn;Beslut;Diarienummer;Flera kommuner;Antal kommuner;Län;Kommun;YH-poäng;Studieform;Studietakt %;Typ av examen;SeQF nivå;Smalt yrkesområde;Utbildningsanordnare administrativ enhet;Huvudmannatyp;Sökta utbildningsomgångar;Beviljade utbildningsomgångar;Sökta platser per utbildningsomgång;Sökta platser totalt;Beviljade platser utbildningsomgång 1;Beviljade platser utbildningsomgång 2;Beviljade platser utbildningsomgång 3;Beviljade platser utbildningsomgång 4;Beviljade platser utbildningsomgång 5;Beviljade platser totalt
Data/IT;481ab;Utbildningar till programmerare, spel;AI Programmer;Avslag;MYH 2024/3742;Nej;1;Västerbotten;Umeå;550;Bunden;100;Yrkeshögskoleexamen;5;Nej;Futuregames Umeå;Privat;3;0;30;90;0;0;0;0;0;0
Data/IT;481ab;Utbildningar till programmerare, spel;Forsbergs, Spelutvecklare – Game Programming;Avslag;MYH 2024/4174;Nej;1;Stockholm;Stockholm;550;Bunden;100;Yrkeshögskoleexamen;5;Nej;Forsbergs Skola;Privat;3;0;20;60;0;0;0;0;0;0
Data/IT;481ab;Utbildningar till programmerare, spel;Futuregames Game Programmer Specialization;Avslag;MYH 2024/3029;Ja;2;Flera kommuner;Flera kommuner;550;Bunden;100;Yrkeshögskoleexamen;5;Nej;Futuregames Karlstad;Privat;3;0;30;90;0;0;0;0;0;0
Data/IT;481ab;Utbildningar till programmerare, spel;Game Programmer;Avslag;MYH 2024/3425;Nej;1;Blekinge;Karlshamn;450;Bunden;100;Yrkeshögskoleexamen;5;Nej;Hyper Island Program AB - Karlskrona;Privat;3;0;25;75;0;0;0;0;0;0
Data/IT;481ab;Utbildningar till programmerare, spel;Spelprogrammerare;Beviljad;MYH 2024/3852;Nej;1;Skåne;Malmö;550;Bunden;100;Yrkeshögskoleexamen;5;Nej;TGA Utbildning AB;Privat;4;3;35;140;35;35;35;0;0;105
Data/IT;481ab;Utbildningar till programmerare, spel;Spelprogrammerare;Avslag;MYH 2024/3824;Nej;1;Värmland;Karlstad;500;Distans;100;Yrkeshögskoleexamen;5;Nej;Nackademin AB;Privat;3;0;35;105;0;0;0;0;0;0
Data/IT;481ac;Utbildningar inom systemhantering och programmering;.NET Developer;Avslag;MYH 2024/3558;Nej;1;Stockholm;Stockholm;430;Bunden;100;Yrkeshögskoleexamen;5;Nej;KYH AB Stockholm;Privat;5;0;35;175;0;0;0;0;0;0
Data/IT;481ac;Utbildningar inom systemhantering och programmering;.NET Developer;Avslag;MYH 2024/3646;Nej;1;Västra Götaland;Göteborg;400;Bunden;100;Yrkeshögskoleexamen;5;Nej;KYH AB Göteborg;Privat;5;0;35;175;0;0;0;0;0;0
Data/IT;481ac;Utbildningar inom systemhantering och programmering;.NET Developer;Avslag;MYH 2024/3657;Nej;1;Skåne;Malmö;400;Bunden;100;Yrkeshögskoleexamen;5;Nej;KYH AB Malmö;Privat;5;0;35;175;0;0;0;0;0;0
Data/IT;481ac;Utbildningar inom systemhantering och programmering;.NET Utvecklare;Avslag;MYH 2024/3943;Nej;1;Västra Götaland;Göteborg;410;Bunden;100;Yrkeshögskoleexamen;5;Nej;Plushögskolan AB - Teknikhögskolan;Privat;5;0;30;150;0;0;0;0;0;0
Data/IT;481ac;Utbildningar inom systemhantering och programmering;.NET-Cloud developer;Avslag;MYH 2024/4278;Nej;1;Stockholm;Stockholm;400;Bunden;100;Yrkeshögskoleexamen;5;Nej;IT-Högskolan Stockholm AB;Privat;3;0;35;105;0;0;0;0;0;0
Data/IT;481ac;Utbildningar inom systemhantering och programmering;.NET-utvecklare;Avslag;MYH 2024/3963;Nej;1;Västra Götaland;Göteborg;400;Distans;100;Yrkeshögskoleexamen;5;Nej;IT-Högskolan Sverige AB;Privat;3;0;35;105;0;0;0;0;0;0
